ord;regiaopais;estado;municipio;mesorregiao;pib
1;Norte;RO;Alta Floresta D'Oeste;Leste Rondoniense;19611,75
2;Norte;RO;Ariquemes;Leste Rondoniense;21389,67
3;Norte;RO;Cabixi;Leste Rondoniense;22315,8
4;Norte;RO;Cacoal;Leste Rondoniense;24037,91
5;Norte;RO;Cerejeiras;Leste Rondoniense;25009,71
6;Norte;RO;Colorado do Oeste;Leste Rondoniense;18413,74
7;Norte;RO;Corumbiara;Leste Rondoniense;38156,05
8;Norte;RO;Costa Marques;Madeira-Guaporé;12413,35
9;Norte;RO;Espigão D'Oeste;Leste Rondoniense;17498,71
10;Norte;RO;Guajará-Mirim;Madeira-Guaporé;16955,8
11;Norte;RO;Jaru;Leste Rondoniense;25301,65
12;Norte;RO;Ji-Paraná;Leste Rondoniense;22814,71
13;Norte;RO;Machadinho D'Oeste;Leste Rondoniense;15724,6
14;Norte;RO;Nova Brasilândia D'Oeste;Leste Rondoniense;16598,42
15;Norte;RO;Ouro Preto do Oeste;Leste Rondoniense;19560,69
16;Norte;RO;Pimenta Bueno;Leste Rondoniense;28288,63
17;Norte;RO;Porto Velho;Madeira-Guaporé;31793,2
18;Norte;RO;Presidente Médici;Leste Rondoniense;18760,18
19;Norte;RO;Rio Crespo;Leste Rondoniense;27767,17
20;Norte;RO;Rolim de Moura;Leste Rondoniense;22734,08
21;Norte;RO;Santa Luzia D'Oeste;Leste Rondoniense;19347,7
22;Norte;RO;Vilhena;Leste Rondoniense;26723,64
23;Norte;RO;São Miguel do Guaporé;Leste Rondoniense;26876,64
24;Norte;RO;Nova Mamoré;Madeira-Guaporé;16372,8
25;Norte;RO;Alvorada D'Oeste;Leste Rondoniense;15685,89
26;Norte;RO;Alto Alegre dos Parecis;Leste Rondoniense;23883,26
27;Norte;RO;Alto Paraíso;Leste Rondoniense;15288,98
28;Norte;RO;Buritis;Madeira-Guaporé;17063,65
29;Norte;RO;Novo Horizonte do Oeste;Leste Rondoniense;16744,93
30;Norte;RO;Cacaulândia;Leste Rondoniense;21793,88
31;Norte;RO;Campo Novo de Rondônia;Madeira-Guaporé;19092,23
